topic_id,topic_label,social_class,rank,s3_theta_rank,theta,query
0,International Organization Research,Lower class,1,,0.9174,"i need a title and a description for my video about ""rain sounds for sleeping 10 hours"", please include the keyword ""rain sounds for sleeping 10 hours"" in the title and description in some way"
0,International Organization Research,Lower class,2,,0.9174,"i need a title and description for my video about ""rain sounds for sleeping 10 hours"", please include the keyword ""rain sounds for sleeping 10 hours"" in the title and description in some way"
0,International Organization Research,Lower class,3,,0.8945,Write me a backstory about a man who grew up in a lower class neighberhood in a city but then met with friends in the country to start a biker gang
0,International Organization Research,Lower class,4,,0.8705,"i would like a title, description, and hashtags for a video. the video is rain noises for 10 hours"
0,International Organization Research,Lower class,5,,0.8539,Create 10 Alternative YouTube titles for: 35 hours in business class on Coast Starlight! What's it like?
0,International Organization Research,Lower class,6,,0.8539,Make the following YouTube title more dangerous: 35 hours in business class on Amtrak's Coast Starlight.
0,International Organization Research,Lower class,7,,0.8539,"north wales, conwy county. some people dont like tourist industry, some see the benefit. in a few sentences, please some of the pros and cons of tourism in the place that you live"
0,International Organization Research,Lower class,8,,0.8539,"Help me write a letter confessing my feelings for a person that I work with. I felt something when we met, like I've known you for a lifetime."
0,International Organization Research,Lower class,9,,0.8539,Make the following YouTube title more curious: 35 hours in business class on Amtrak's Coast Starlight.
0,International Organization Research,Lower class,10,,0.8539,If I'm in a country that doesn't allow profit for raffles but I would like to make some money off of it what legal ways can I use to raffle the product?
0,International Organization Research,Lower class,11,,0.8324,"I am an only child.  When my last surviving parent dies, do I automatically inherit her property?"
0,International Organization Research,Lower class,12,,0.8324,How do I format a personal statement for graduate programs?
0,International Organization Research,Lower class,13,,0.8324,"Please look up the Tennessee educational standards for Grade 8 Science, latest update with full description of standards"
0,International Organization Research,Lower class,14,,0.8324,Can you summarize the first chapter of this book for my research paper?
0,International Organization Research,Lower class,15,,0.8324,What are online sources I can use to learn modern high school subjects like math and history?
0,International Organization Research,Lower class,16,,0.8324,"Okay, let's talk about trending products. But first tell me how I can find trending products in my research."
