topic_id,topic_label,n_queries,n_users,representative_queries,representative_users
0,Text Summarization,539,116," Informational Prompts Explaining Concepts: ""Explain how blockchain technology works in simple terms."" Summarizing: ""Summarize the plot of The Great Gatsby."" ||| create a three sentence description for a celestial inspired jewelry collection. ||| Can you summarize the plot of Pride and Prejudice in under 200 words? |||  find a fourth word that is related to all three of the given words: arm, coal, peach ||| provide a real-world example to illustrate why the meritocratic view could be ideal in society? Please explain in about three sentences.","124, 238, 753, 739, 881"
1,Creative Writing,455,93,Wild Cards’ showrunner tells us why this series feels fresh but familiar suggest alternatives ||| Write a letter saying I'm quitting working at a radio station because I was plagiarized and feeling taken for granted ||| write a funny poem about a man who loves donuts ||| Can you surprise me with a story about yourself? I'd love to hear something unexpected or interesting. ||| Can you recommend a good movie to watch tonight?,"421, 96, 783, 833, 957"
2,Digital Marketing Strategy,371,56,Make the following YouTube title more mysterious: 35 hours in business class on Amtrak's Coast Starlight. ||| Make the following YouTube title more compelling: 35 hours in business class on Amtrak's Coast Starlight. ||| Please describe how the entrance of the Luxor Hotel looks from a male perspective at night. Please use creative writing skills and write in first person.  ||| A creative content ideas for a digital marketing company specified in sales funnel and website design ||| What are the benefits of mindfulness meditation?,"171, 21, 388, 143, 713"
3,Professional Email Drafting,336,56,Can you help me draft a professional email to request a meeting with my boss? ||| Can you write a professional email to a client about delaying a project deadline? ||| Can you help me write a professional email to ask my boss for a meeting? ||| help me draft a professional email to my boss ||| Can you help me write a professional email to ask my manager for a meeting?,"293, 227, 325, 807, 320"
4,Grammar and Spelling Checking,285,61,how to sole E1 error on brother sewing machine ||| can you spell check the following text and check for grammar mistakes. ||| UK voting citizenship criteria ||| Can you explain the difference between machine learning and deep learning? ||| All these tweaks are relevant for fedora 41 correct?,"332, 444, 686, 28, 107"
5,Birthday Message Writing,246,40,Write me a backstory of a woman who was down on her luck but bumped into a local biker gang who took her in. ||| What is an apropriate birthday greeting for a friend in Cebuano? ||| Compose a sweet  happy birthday message for mum ||| What is meant by 'disneyfication' with regards to fairy tales? ||| writing quirky and fun messages to my friends and family,"428, 963, 17, 683, 38"
6,Video and Image Content Creation,177,25,"i would like a title, description, and hashtags for a video. the video is rain noises for 10 hours ||| make a 60 second amazon influencer video on a VRURC Portable Charger, 22.5W Power Bank 20000mAh ||| Slow Sunset Techno Video ||| design me an image , fantasy with a cat, unicorn and a skull  give me ptions ||| is sunset topaz a natural gemstone","383, 862, 866, 37, 860"
7,Weight Loss Workouts,199,31,"Generate a 4 day a week workout program focused on upper body and losing weight, while keeping muscle. ||| Suggest a beginner’s workout routine. ||| Design a custom workout plan for a beginner who wants to lose weight and gain muscle over a 12-week period. ||| what's the best back workout with dumbells for beginners? ||| walking o exercise , engage in physical activities to release endorphins which can help reduce stress","646, 685, 722, 512, 727"
8,Recipe and Meal Planning,187,34,"I have kamado joe paella pan, jumbo shrimp, saffron, spanish rice, paella broth, onion, garlic, how do i cook seafood paella on kamado joe ||| Help me think of a pasta dish I can serve at a dinner party with chorizo and chicken ||| Name of the british tradition of a meal usually consisting of fried egg and bacon, beans and toast, served at the start of the day ||| is chicken and beef a surf and turf of a turf and turf ||| Can you share a quick, healthy dinner recipe for two?","742, 408, 307, 79, 925"
9,Career and Education Guidance,177,20,"I'm currently a special education paraeducator, but I want a career in network engineering. What should my LinkedIn headline be?   ||| What are some examples of hardship for a college student to be granted on campus housing ||| how could joining a club help a college student grow in more ways than just personally ||| Create a charity flyer for a swimming contest for 10 jan 2025  ||| How do you think first generation students and continuing generation students are different from each other?","648, 912, 901, 389, 30"
