id,prompt,topic_composition,dominant_topic,topic_label
u487p5,How to customize the link color using CSS for an HTML website,"{0: 0.0254, 1: 0.0238, 2: 0.0238, 3: 0.0212, 4: 0.6133, 5: 0.0138, 6: 0.0133, 7: 0.0112, 8: 0.0088, 9: 0.0097, 10: 0.0101, 11: 0.0093, 12: 0.0083, 13: 0.0079, 14: 0.0079, 15: 0.0076, 16: 0.0074, 17: 0.0053, 18: 0.0056, 19: 0.0047, 20: 0.0047, 21: 0.0046, 22: 0.1522, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u825p5,Can you help me come up with some blog post ideas for my website?,"{0: 0.036, 1: 0.0337, 2: 0.0338, 3: 0.03, 4: 0.6591, 5: 0.0196, 6: 0.0189, 7: 0.016, 8: 0.0125, 9: 0.0138, 10: 0.0143, 11: 0.0132, 12: 0.0118, 13: 0.0112, 14: 0.0112, 15: 0.0108, 16: 0.0105, 17: 0.0075, 18: 0.0079, 19: 0.0067, 20: 0.0067, 21: 0.0065, 22: 0.0053, 23: 0.003, 24: 0.0}",4,YouTube Video Metadata
u795p3,books for finding meaning,"{0: 0.3124, 1: 0.0427, 2: 0.3095, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",0,Document Summarization
u282p2,who was the greatest scientist to ever live?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.5429, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",17,Science Facts
u184p1,"""Can you help me write a poem about the ocean?""","{0: 0.0457, 1: 0.3094, 2: 0.3095, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",2,Travel Booking
u780p8,which football team is the most decorated in the past 20 years,"{0: 0.0299, 1: 0.0279, 2: 0.028, 3: 0.0248, 4: 0.0227, 5: 0.0162, 6: 0.0157, 7: 0.1876, 8: 0.0104, 9: 0.0114, 10: 0.0118, 11: 0.011, 12: 0.0098, 13: 0.0092, 14: 0.0093, 15: 0.0089, 16: 0.0087, 17: 0.0062, 18: 0.1809, 19: 0.0055, 20: 0.0055, 21: 0.3541, 22: 0.0044, 23: 0.0, 24: 0.0}",21,Coffee Comparison
u390p4,Write a cover letter,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.5, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.5, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0}",4,YouTube Video Metadata
u134p3,"If this is the case 3. Varicocele 	•	Enlarged veins in the scrotum (varicocele) can impair blood flow, potentially affecting testicle size and function. What is the solution","{0: 0.0118, 1: 0.011, 2: 0.011, 3: 0.2157, 4: 0.009, 5: 0.0064, 6: 0.0748, 7: 0.0738, 8: 0.0041, 9: 0.0045, 10: 0.0046, 11: 0.0043, 12: 0.0725, 13: 0.1409, 14: 0.0037, 15: 0.0035, 16: 0.0034, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.345, 23: 0.0, 24: 0.0}",22,TypeScript Module Fixing
u357p2,What is particle physics?,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.2817, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.0133, 17: 0.0095, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.2706, 24: 0.0}",12,Email and Application Requests
u366p10,is ghost on cbs also a British show,"{0: 0.0457, 1: 0.0427, 2: 0.0428, 3: 0.038, 4: 0.0348, 5: 0.0248, 6: 0.024, 7: 0.0202, 8: 0.0159, 9: 0.0175, 10: 0.0181, 11: 0.0168, 12: 0.015, 13: 0.0141, 14: 0.0142, 15: 0.0137, 16: 0.2799, 17: 0.2762, 18: 0.01, 19: 0.0084, 20: 0.0084, 21: 0.0083, 22: 0.0067, 23: 0.0039, 24: 0.0}",16,Political Leadership Q&A
